520星恋情感电台,https://lhttp.qtfm.cn/live/15318191/64k.mp3
上海经典947,https://lhttp.qtfm.cn/live/267/64k.mp3
上海动感101,https://lhttp.qtfm.cn/live/274/64k.mp3
经典FM1008,https://lhttp.qtfm.cn/live/20212227/64k.mp3
上海沸点100音乐广播,https://lhttp.qtfm.cn/live/5022341/64k.mp3
北京音乐广播,https://lhttp.qtfm.cn/live/332/64k.mp3
北京文艺广播,https://lhttp.qtfm.cn/live/333/64k.mp3
宁夏音乐广播,https://lhttp.qtfm.cn/live/15318294/64k.mp3
贵港金曲1019,https://lhttp.qtfm.cn/live/20697/64k.mp3	
乌海交通音乐广播,https://lhttp.qtfm.cn/live/15318704/64k.mp3
内蒙古音乐之声,https://lhttp.qtfm.cn/live/1886/64k.mp3
FM954汽车音乐广播,https://lhttp.qtfm.cn/live/1936/64k.mp3
云南音乐广播,https://lhttp.qtfm.cn/live/1929/64k.mp3
经典983电台,https://lhttp.qtfm.cn/live/20211575/64k.mp3
安庆交通音乐广播,https://lhttp.qtfm.cn/live/1966/64k.mp3
徐州经典音乐FM942,https://lhttp.qtfm.cn/live/15318160/64k.mp3
安徽音乐广播,https://lhttp.qtfm.cn/live/1947/64k.mp3
赣州综合广播,https://lhttp.qtfm.cn/live/20266/64k.mp3
黄冈交通音乐广播,https://lhttp.qtfm.cn/live/20207776/64k.mp3
江西音乐广播,https://lhttp.qtfm.cn/live/1802/64k.mp3
魅荆门交通音乐广播,https://lhttp.qtfm.cn/live/20336/64k.mp3
FM1064城市生活音乐广播,https://lhttp.qtfm.cn/live/5022716/64k.mp3
荆州音乐广播,https://lhttp.qtfm.cn/live/20075/64k.mp3
武汉经典音乐广播,https://lhttp.qtfm.cn/live/1297/64k.mp3
楚天音乐广播,https://lhttp.qtfm.cn/live/1289/64k.mp3
湖北经典音乐广播,https://lhttp.qtfm.cn/live/1296/64k.mp3
经典937天水音乐文艺广播,https://lhttp.qtfm.cn/live/21251/64k.mp3
青海交通音乐,https://lhttp.qtfm.cn/live/5009/64k.mp3
宝鸡音乐广播,https://lhttp.qtfm.cn/live/15318127/64k.mp3
西安音乐广播,https://lhttp.qtfm.cn/live/1612/64k.mp3
陕西音乐广播,https://lhttp.qtfm.cn/live/4873/64k.mp3
大庆音乐广播,https://lhttp.qtfm.cn/live/20500212/64k.mp3
辽宁经典音乐广播,https://lhttp.qtfm.cn/live/20021/64k.mp3
吉林市音乐广播,https://lhttp.qtfm.cn/live/20211679/64k.mp3	
吉林音乐广播,https://lhttp.qtfm.cn/live/1831/64k.mp3
阳泉最爱音乐台,https://lhttp.qtfm.cn/live/20211652/64k.mp3
FM1026太原音乐广播,https://lhttp.qtfm.cn/live/1185/64k.mp3
FM101.5山西文艺广播,https://lhttp.qtfm.cn/live/20485/64k.mp3
山西音乐广播,https://lhttp.qtfm.cn/live/4932/64k.mp3
厦门音乐广播,https://lhttp.qtfm.cn/live/1739/64k.mp3
好朋友926音乐电台,https://lhttp.qtfm.cn/live/5022413/64k.mp3
FM88.6长沙音乐广播,https://lhttp.qtfm.cn/live/20847/64k.mp3
FM95.9清远交通音乐广播,https://lhttp.qtfm.cn/live/20500067/64k.mp3
广州MYFM 88.0,https://lhttp.qtfm.cn/live/20194/64k.mp3
潮州交通音乐广播,https://lhttp.qtfm.cn/live/4594/64k.mp3
湾区音乐台,https://lhttp.qtfm.cn/live/20500163/64k.mp3
广东音乐之声,https://lhttp.qtfm.cn/live/1260/64k.mp3
经典913,https://lhttp.qtfm.cn/live/20500222/64k.mp3
久久金曲 FM99.9,https://lhttp.qtfm.cn/live/20211694/64k.mp3
欢乐调频,https://lhttp.qtfm.cn/live/15318317/64k.mp3
沧州1058汽车音乐广播,https://lhttp.qtfm.cn/live/5021914/64k.mp3
沧州音乐广播FM103.6,https://lhttp.qtfm.cn/live/5021902/64k.mp3
张家口986音乐广播,https://lhttp.qtfm.cn/live/5021801/64k.mp3
汽车音乐台,https://lhttp.qtfm.cn/live/5021743/64k.mp3
怀旧金曲964,https://lhttp.qtfm.cn/live/5021555/64k.mp3
秦皇岛音乐广播,https://lhttp.qtfm.cn/live/20835/64k.mp3
邯郸音乐广播,https://lhttp.qtfm.cn/live/4601/64k.mp3
唐山音乐广播,https://lhttp.qtfm.cn/live/4871/64k.mp3
石家庄音乐广播,https://lhttp.qtfm.cn/live/1654/64k.mp3	
河北音乐广播,https://lhttp.qtfm.cn/live/1649/64k.mp3
声动970,https://lhttp.qtfm.cn/live/20500047/64k.mp3
经典音乐广播FM94.8,https://lhttp.qtfm.cn/live/20500097/64k.mp3
FM88.8故事广播,https://lhttp.qtfm.cn/live/20500098/64k.mp3
岁月如歌940,https://lhttp.qtfm.cn/live/20500117/64k.mp3
FM90.7威海音乐广播,https://lhttp.qtfm.cn/live/15318612/64k.mp3
菏泽音乐广播,https://lhttp.qtfm.cn/live/21175/64k.mp3
临沂音乐广播,https://lhttp.qtfm.cn/live/4017/64k.mp3
FM93.1滨州交通音乐广播,https://lhttp.qtfm.cn/live/20519/64k.mp3
徐州经典音乐FM942,https://lhttp.qtfm.cn/live/15318160/64k.mp3
山东音乐广播,https://lhttp.qtfm.cn/live/1665/64k.mp3
青海交通音乐,https://lhttp.qtfm.cn/live/5009/64k.mp3
毕节交通音乐广播,https://lhttp.qtfm.cn/live/5022712/64k.mp3
贵州FM91.6音乐广播,https://lhttp.qtfm.cn/live/20067/64k.mp3
徐州经典音乐FM942,https://lhttp.qtfm.cn/live/15318160/64k.mp3	
